-0.25	0	0.25
BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE	0.0907274180655476	0.0807920792079208	0.154119038234135
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP	0.10126582278481	0.176564368274213	0.572460859092734
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_DN	0.239715189873418	0.329214826624153	0.474989995998399
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_UP	0.775911511675543	0.360488798370672	0.184867075664622
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_DN	0.655888223552894	0.831801837794646	0.493827160493827
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	0.630298273155416	0.469500196772924	0.394355154841239
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	0.88834754364596	0.987828818217511	0.689069138663577
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	0.89484206317473	0.591179976162098	0.400637196336121
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN	0.946132037262049	0.718232044198895	0.460536700868193
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP	0.678921568627451	0.450567260940032	0.324204591220298
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_DN	0.27461749705767	0.16156862745098	0.10859375
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	0.705531237564664	0.740580847723705	0.592012529365701
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_DN	0.846832397754611	0.855147645650439	0.384923817161187
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	0.0898251192368839	0.17439556084027	0.455164131305044
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	0.240944881889764	0.498618239242006	0.965668662674651
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	0.570448122729108	0.35575009948269	0.305709754163362
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP	0.117254901960784	0.294978252273626	0.796347757046447
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_DN	0.681980198019802	0.490528808208366	0.401972386587771
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP	0.703703703703704	0.784916201117318	0.609149277688603
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_DN	0.257624398073836	0.384522854851644	0.696774193548387
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	0.868937875751503	0.761431411530815	0.541055136850456
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	0.48471615720524	0.673461231015188	0.921770051363098
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_UP	0.955670926517572	0.651735270379338	0.545709703287891
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_DN	0.834372564302416	0.569585613760751	0.447879508521601
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	0.0161608198659834	0.00673534072900159	0.00792393026941363
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP	0.597122302158273	0.450079239302694	0.415244144501786
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN	0.27229862475442	0.479355092410539	0.811727163940965
BUFFA_HYPOXIA_METAGENE	0.200079239302694	0.161071143085532	0.149038461538462
WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN	0.0709728867623605	0.100681909346169	0.194322271091563
WINTER_HYPOXIA_DN	0.495459928938018	0.647499015360378	0.917830075787794
PARENT_MTOR_SIGNALING_DN	0.578701904391761	0.837717523269931	0.573073868149325
KORKOLA_EMBRYONAL_CARCINOMA_UP	0.499601275917065	0.261432618373128	0.184411410204902
KORKOLA_TERATOMA_UP	0.599764798118385	0.99565560821485	0.765326837190418
KORKOLA_YOLK_SAC_TUMOR_UP	0.808052053680358	0.498797113071371	0.276194299478121
KORKOLA_SEMINOMA_UP	0.808806029353431	0.496805111821086	0.261477045908184
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	0.802246289610911	0.405861099959855	0.202300674335581
HOLLMANN_APOPTOSIS_VIA_CD40_UP	0.149003984063745	0.0894405043341214	0.104265402843602
