-0.25	0	0.25
BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE	0.119609153374012	0.119609153374012	0.119609153374012
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP	0.115357077584855	0.115357077584854	0.115357077584855
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_DN	0.187841522479485	0.187841522479484	0.187841522479485
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_UP	0.492507822488957	0.492507822488958	0.492507822488958
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_DN	0.818273202675159	0.81827320267516	0.818273202675159
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	0.503980582975096	0.503980582975096	0.503980582975096
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	0.821041009506865	0.821041009506866	0.821041009506865
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	0.710934266454274	0.710934266454275	0.710934266454274
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN	0.537064822178751	0.537064822178752	0.537064822178751
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP	0.461104828521076	0.461104828521078	0.461104828521077
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_DN	0.0406091288419943	0.0406091288419944	0.0406091288419941
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	0.796404945644515	0.796404945644516	0.796404945644515
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_DN	0.633892943219289	0.633892943219289	0.63389294321929
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	0.190407348260123	0.190407348260122	0.190407348260123
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	0.717245254796057	0.717245254796055	0.717245254796056
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	0.22005467825874	0.220054678258741	0.22005467825874
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP	0.542756309732983	0.542756309732981	0.542756309732982
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_DN	0.437153746651501	0.437153746651502	0.437153746651502
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP	0.884867891448213	0.884867891448214	0.884867891448213
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_DN	0.261892755024667	0.261892755024666	0.261892755024667
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	0.675212268329373	0.675212268329374	0.675212268329373
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	0.479978888265164	0.479978888265163	0.479978888265164
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_UP	0.632347411441263	0.632347411441263	0.632347411441263
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_DN	0.721878037667252	0.721878037667253	0.721878037667252
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	0.00150269664629139	0.00150269664629139	0.00150269664629139
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP	0.336183272960703	0.336183272960703	0.336183272960703
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN	0.763204333082831	0.76320433308283	0.763204333082831
BUFFA_HYPOXIA_METAGENE	0.149582703876874	0.149582703876874	0.149582703876874
WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN	0.0396699707643431	0.039669970764343	0.0396699707643432
WINTER_HYPOXIA_DN	0.752986777301534	0.752986777301534	0.752986777301534
PARENT_MTOR_SIGNALING_DN	0.757228093117324	0.757228093117327	0.757228093117325
KORKOLA_EMBRYONAL_CARCINOMA_UP	0.383349521256193	0.383349521256193	0.383349521256193
KORKOLA_TERATOMA_UP	0.995959971122809	0.995959971122809	0.995959971122809
KORKOLA_YOLK_SAC_TUMOR_UP	0.543040828405002	0.543040828405002	0.543040828405002
KORKOLA_SEMINOMA_UP	0.59853331987264	0.598533319872641	0.59853331987264
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	0.543990374785559	0.543990374785559	0.543990374785559
HOLLMANN_APOPTOSIS_VIA_CD40_UP	0.159545392201631	0.159545392201632	0.159545392201631
