"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"KEGG_N_GLYCAN_BIOSYNTHESIS" 0.500849231361979 0.510527625852369 0.519384757729119 0.526569014412905 0.53329137613348 0.538285542725408 0.543007991769384 0.547480311002486 0.551721860324327 0.555750051957801 0.559580589369282 0.563227671861178 0.565884263720566 0.568650536444049 0.569481597125816 0.569966392786819 0.570426917786327 0.570553692653589 0.569846130952627 0.569173156110547 0.568532292631025
"KEGG_OTHER_GLYCAN_DEGRADATION" 0.302837024724821 0.314255828470354 0.325352708115636 0.336141088171338 0.346633656963188 0.356842416413913 0.36651214835318 0.373529942449982 0.380306702657558 0.386854637186385 0.393185143484522 0.399308874443094 0.405235798218538 0.410975252378296 0.416535992988583 0.421926239187004 0.42531297478541 0.427951528835735 0.430494366967113 0.432946604666543 0.436350962226133
"KEGG_O_GLYCAN_BIOSYNTHESIS" 0.35010940430396 0.35974916984071 0.369296320737641 0.378752185315059 0.388118066612319 0.397007200943322 0.4048789334227 0.412640478454615 0.420294133542495 0.427166818127054 0.433269676865165 0.438083411313675 0.441315235561003 0.443703756678998 0.446020293091327 0.448268050676972 0.450450047732137 0.452569128492287 0.454627975501102 0.456785689861831 0.458354957530765
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION" -0.310774527115582 -0.306702361609236 -0.302644118716728 -0.2985997271584 -0.29456911614034 -0.289974098107346 -0.284784768322783 -0.279647774691762 -0.274562329444917 -0.269527660544069 -0.264543011291503 -0.259607639950831 -0.254720819379045 -0.249881836669371 -0.244372233697413 -0.238654907825864 -0.233028717724832 -0.227334145982724 0.220338868956958 0.221081967853238 0.22179626127504
"KEGG_GLYCEROLIPID_METABOLISM" -0.539505855779417 -0.5356486912952 -0.531730271423483 -0.527429112600234 -0.522292250433249 -0.516384063277665 -0.510409255970592 -0.50436669531949 -0.498255222284832 -0.492040821896183 -0.484070146638733 -0.475301527896689 -0.466335070888292 -0.45649249360785 -0.446632199062935 -0.436057412016202 -0.425376020841013 -0.414708335754364 -0.402670806423234 -0.390770070803819 -0.381451338313385
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS" 0.416281237705975 0.431551379344198 0.446354855449918 0.460712736466463 0.473374742851872 0.482044047130545 0.490357847430653 0.49833757174049 0.504446640523155 0.509530367020586 0.51439349914807 0.517140551433845 0.519459071182203 0.521671364252803 0.52378456756775 0.525805192720645 0.527739192996693 0.529592021954172 0.53136868478139 0.533073783447657 0.534711556505919
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM" -0.348600409199152 -0.342264100969754 -0.335560027529871 -0.328535584441207 -0.321084274939839 -0.313194221338558 -0.304989725181445 -0.296721181322004 -0.288387836847037 -0.279971940457894 -0.270625335275571 -0.261216840971394 -0.251766950241853 -0.241850067676265 -0.231904358872749 -0.221536289349365 -0.211144085879215 0.213405271949019 0.220035066486154 0.226034905174799 0.231326710051131
"KEGG_ETHER_LIPID_METABOLISM" -0.387695192577895 -0.380082185901134 -0.372372423842835 -0.36456405007854 -0.356655160491519 -0.349040162507778 -0.342307030141445 -0.335372850222571 -0.32751917697695 -0.320023735034751 -0.313480173366146 -0.306870911407631 -0.300194954676174 -0.293451288516089 -0.286638877584939 -0.279756665323634 -0.272803573410159 -0.26573227742259 -0.257834826400159 -0.249882497671107 0.246143353099022
"KEGG_ARACHIDONIC_ACID_METABOLISM" -0.496955367164471 -0.490142692545352 -0.482889189639032 -0.476427035177269 -0.470034260939164 -0.463548158661158 -0.456966669572743 -0.450168311146547 -0.442786823343377 -0.435308407781078 -0.427731142675965 -0.420053055102162 -0.411703985329843 -0.402661017547664 -0.393523809567789 -0.384297986866426 -0.37498225405349 -0.36557529036686 -0.355645336243645 -0.34540369710421 -0.334346821938395
"KEGG_LINOLEIC_ACID_METABOLISM" -0.609975406226647 -0.604663438369042 -0.599263614992151 -0.593773738335863 -0.588191536719234 -0.582514661406267 -0.576740683310844 -0.570867089531125 -0.564891279703009 -0.558810562161546 -0.552622149898399 -0.546323156302591 -0.539910590670871 -0.533381353473022 -0.526732231356363 -0.519959891872535 -0.513060877908382 -0.506031601801375 -0.49886833911854 -0.491567222076213 -0.483520087873935
